victim;gang;date;Victim Country;Victim sectors;NumberN/AofN/Aemployees;Sales;Ransom Currency;Ransom Paid
activedynamics;blackbasta;18/12/2024 ;Canada;Telecommunications;<25;<$5M;;
grimaldialliance;blackbasta;18/12/2024 ;Italy;Law;;;;
Freightlinerof Savannah;akira;18/12/2024 ;USA;Automotive;97;$13.2M;;
IMSPLGROUP;clop;18/12/2024 ;India;Services;30;<$5M;;
EMPRESARIA;clop;18/12/2024 ;UK;Services;;;;
OL Products;akira;18/12/2024 ;USA;Retail;73;$16M;;
Smith Tank & Steel ;lynx;18/12/2024 ;USA;Manufacturing;643;$141.3M;;
bathfitter;blackbasta;18/12/2024 ;Canada;Construction;739;$275.3M;;
furmanos;blackbasta;18/12/2024 ;USA;Food;303;$81M;;
massdevelopment;cactus;18/12/2024 ;USA;Banking;167;$24.6M;;
Modern Dental Group Limited;BrainCipher;18/12/2024 ;Hong Kong;Healtcare;<25;<$5M;;
bri.co.id;apt73/bashe;18/12/2024 ;Indonesia;Banking;80257;$11.2B;;
Fullmer Construction;akira;18/12/2024 ;Canada;Construction;113;$34.7M;;
Black Oak Casino Resort;akira;18/12/2024 ;USA;Gambling;867;$141.6M;;
Groupe-fimar;bluebox;17/12/2024 ;France;Services;82;$11.9M;;
Tharisa;termite;17/12/2024 ;Cyprus;Minerals;2377;$649.9M;;
Avstar Fuel Systems;rhysida;18/12/2024 ;USA;Transportation;120;$5.6M;;
nbleisuretrust;ransomhub;17/12/2024 ;UK;Hospitality;82;$5.2M;;
medisecure;ransomhub;17/12/2024;Australia;Healthcare;<25;<$5M;;
choicemg;ransomhub;17/12/2024;USA;Healthcare;350;$6.5M;;
ibram;funksec;17/12/2024;Brazil;No Profit;183;$13M;;
dinamalar;funksec;17/12/2024;India;Industrial;;;;
Kilgore Industries;nitrogen;17/12/2024;USA;Industrial;<25;<$5M;;
A Beautiful Pools Inc;nitrogen;17/12/2024;USA;Hospitality;495;$93.6M;;
Fireproof Contractors Inc;nitrogen;17/12/2024;USA;Construction;252;$64.6M;;
SpeedLine Solutions;fog;17/12/2024;Canada;Software;116;$28M;;
kuritaamerica;threeam;17/12/2024;USA;Energy;7630;$5.9B;;
Ouro Verde;fog;17/12/2024;Brazil;Services;2278;$460M;;
Polskie Wydawnictwo Muzyczne;akira;17/12/2024;Poland;Services;230;$9.2M;;
Toscano Law;akira;17/12/2024;USA;Law;<25;<$5M;;
A Geradora;akira;17/12/2024;Brazil;Retail;715;;;
Heritage Bank;interlock;17/12/2024;USA;Finance;925;$207.1M;;
pbos.gov.pk;funksec;17/12/2024;Pakistan;Governative;;;;
Ecritel;hunters;17/12/2024;France;Services;393;$11.6M;;
rtdc.gov.mn;funksec;17/12/2024;Mongolia;Governative;;;;
Joshua Grading & Excavating;play;16/12/2024;USA;Construction;<25;$6M;;
South Plains Implement;play;16/12/2024;USA;Retail;79;$49.4M;;
Lanigan Ryan;play;16/12/2024;USA;Finance;43;$7.5M;;
Welker;play;16/12/2024;USA;Manufacturing;95;$26.8M;;
eisenhowerlaw;kairos;16/12/2024;USA;Law;39;$8M;;
specialtree;ransomhub;16/12/2024;USA;Healthcare;700;$67M;;
bushandburchett;ransomhub;16/12/2024;USA;Construction;<25;<$5M;;
Chemitex SA Information;play;16/12/2024;Belgium;Manufacturing;77;$114M;;
Hatfield Consultants;play;16/12/2024;Canada;Services;100;$24.8M;;
baseisapis.it;argonauts;16/12/2024;Italy;Services;<25;<$5M;;
SWDAKOTAH;ransomhub;16/12/2024;USA;Construction;26;$6.4M;;
CM Buck & Associates;lynx;16/12/2024;USA;Manufacturing;37;$7.3M;;
Super Vac;qilin;16/12/2024;USA;Construction;66;$18.7M;;
favbet;qilin;16/12/2024;UAE;Gambling;610;$15.3M;;
Waverley Christian College ;FOG;16/12/2024;Australia;Education;330;$23.8M;;
Engineered Tower Solutions;dragonforce;16/12/2024;USA;Construction;85;$17.7M;;
Williams Tank Lines;dragonforce;16/12/2024;USA;Transportation;405;$127.8M;;
FINN;dragonforce;16/12/2024;USA;Services;311;$206.4M;;
Time Machine Inc;akira;16/12/2024;USA;Industrial;<25;<$5M;;
Acumen Group;eldorado;16/12/2024;USA;Retail;<25;<$5M;;
LaSen;eldorado;16/12/2024;USA;Services;28;$7.6M;;
Cognity ;FOG;16/12/2024;Greece;Construction;319;$52.3M;;
Great Plains Bank;akira;16/12/2024;USA;Banking;32;<$5M;;
prixet;apt73/bashe;16/12/2024;Dominican Republic;Services;<25;$8.9M;;
National Air Vibrator;akira;16/12/2024;USA;Manufacturing;<25;$7.1M;;
Marine Floats;dragonforce;16/12/2024;USA;Automotive;<25;$6.1M;;
Simmtech Co.;underground;16/12/2024;South Korea;Electronics;2988;$811.5M;;
Diferencial Energia;akira;16/12/2024;Brazil;Energy;<25;$5M;;
GNS Cloud;handala;16/12/2024;Israel;Software;<25;$11.7M;;
scania.pl;ransomhub;16/12/2024;Poland;Finance;145;$19.3M;;
aflak.sa;ransomhub;16/12/2024;Saudi Arabia;Distribution;107;$19.4M;;
Concession Peugeot;cicada3301;16/12/2024;France;Automotive;244;<$5M;;
JSSR ;killsec;15/12/2024;Thailand;Industrial;<25;<$5M;;
Tumeny Payments Limited;killsec;15/12/2024;Zambia;Services;<25;;;
akobdc;funksec;15/12/2024;Iran;;;;;
ekitistate.gov.ng;funksec;15/12/2024;Nigeria;Governative;;;;
pathsalatc.in;funksec;15/12/2024;India;Governative;;;;
rangiamb.in;funksec;15/12/2024;India;Governative;;;;
gstpam;funksec;15/12/2024;India;Services;<25;<$5M;;
arkajainuniver;funksec;15/12/2024;India;Education;487;;;
indianaerospaceand;funksec;15/12/2024;India;Education;<25;<$5M;;
Clarkson Insurance Group;medusa;15/12/2024;USA;Insurance;27;$6.3M;;
North Los Angeles County Regional Center;medusa;15/12/2024;USA;Organizations;360;$40.5M;;
Westfield Fire Department;medusa;15/12/2024;USA;Retail;36;<$5M;;
Biodimed;stormous;11/12/2024;Ecuador;Services;122;<$5M;;
Midland Turbo;eldorado;14/12/2024;UK;Industrial;<25;<$5M;;
First Baptist Church;eldorado;14/12/2024;USA;Organizations;<25;<$5M;;
Kandelaar Electrotechniek;eldorado;14/12/2024;Netherlands;Construction;<25;$5.4M;;
Light Speed Design;eldorado;14/12/2024;USA;Manufacturing;<25;<$5M;;
Levinlaw;ransomhub;14/12/2024;USA;Law;91;$28M;;
American Computer Estimating Inc;bianlian;14/12/2024;USA;Insurance;77;$21.1M;;
MedRevenu Inc;bianlian;14/12/2024;USA;Healtcare;73;$14.4M;;
Mid Florida Primary Care;bianlian;14/12/2024;USA;Healtcare;<25;<$5M;;
Anetic Aid;kairos;14/12/2024;UK;Manufacturing;86;<$5M;;
Tri County Property Management;kairos;14/12/2024;USA;Services;<25;<$5M;;
Archdiocese of Louisville;kairos;14/12/2024;USA;Organizations;205;$26.7M;;
muswellbrook.nsw.gov;safepay;14/12/2024;Australia;Healtcare;111;$122M;;
aneticaid;kairos;13/12/2024;UK;Manufacturing;86;<$5M;;
tekni-plex;ransomhub;14/12/2024;USA;Manufacturing;9000;$2.3B;;
hashem-contracting;ransomhub;13/12/2024;Saudi Arabia;Construction;1070;$215.1M;;
António Belém & António Gonçalves;ciphbit;13/12/2024;Portugal;Finance;<25;;;
Kazyon;moneymessage;13/12/2024;Egypt;Retail;235;$44.3M;;
Luxor Capital Group;akira;13/12/2024;USA;Finance;<25;$5.2M;;
lamundialdeseguros;funksec;13/12/2024;Venezuela;Services;;;;
bee-insurance;funksec;13/12/2024;USA;Insurance;107;$28.3M;;
fuse.io;funksec;13/12/2024;Israel;Services;25;$6.3M;;
lakhipurmb.in;funksec;13/12/2024;India;Governative;;;;
Sigarth;play;13/12/2024;Sweden;Construction;107;$17.9M;;
Long Beach Convention Center;play;13/12/2024;USA;Attractions;411;$78M;;
Maxus Group;play;13/12/2024;USA;Services;40;$13.4M;;
SBW;play;13/12/2024;Canada;Education;273;$11.5M;;
Sunline;play;13/12/2024;USA;Transportation;150;$49M;;
Artemis Holding;play;12/12/2024;Switzerland;Holding;<25;<$5M;;
Myhealthcarebilling;everest;13/12/2024;USA;Healthcare;;;;
Talascend;lynx;13/12/2024;USA;Business;100;$42M;;
Arnott;play;12/12/2024;USA;Automotive;268;$167M;;
Goins Law;lynx;12/12/2024;USA;Law;<25;<$5M;;
thanksforthehelp;killsec;9/12/2024;Australia;Education;<25;$5.6M;;
Wintergreen Learning Materials;hunters;12/12/2024;Canada;Construction;119;$40M;;
Gills Onions;lynx;12/12/2024;USA;Agricolture;319;$211M;;
AFD;hunters;12/12/2024;USA;Banking;3000;$1.5B;;
Southern Acids;hunters;12/12/2024;USA;Energy;1673;$198.3M;;
recope.go.cr;ransomhub;12/12/2024;Costa Rica;Energy;1415;$1.8B;;
GBC;lynx;12/12/2024;Canada;Services;;;;
Brasilmad;sarcoma;12/12/2024;Brazil;Transportation;<25;<$5M;;
cityofmarlow;safepay;11/12/2024;USA;Governative;<25;<$5M;;
nbkenney;safepay;11/12/2024;USA;Construction;118;$17.3M;;
Locke Solutions , ;nitrogen;11/12/2024;USA;Construction;77;$16.5M;;
CW Lighting, ;nitrogen;11/12/2024;USA;Manufacturing;25;$5.3M;;
Estar Seguros, S.A.;braincipher;12/12/2024;Venezuela;Insurance;269;$50.7M;;
Watsonville Community Hospital;termite;11/12/2024;USA;Hospitality;4617;$589.3M;;
Compass Communications;raworld;11/12/2024;New Zealand;Services;<25;<$5M;;
Interforos Casting;killsec;11/12/2024;Mexico;Services;;;;
Tejas Office Products, Inc.;nitrogen;11/12/2024;USA;Services;9;;;
CK Technology Group;cicada3301;8/12/2024;USA;Software;<25;<$5M;;
Mint Pharmaceuticals;8base;9/12/2024;Canada;Manufacturing;85;$28.7M;;
vnpt.vn;funksec;10/12/2024;Vietnam;Telecommunications;27130;$14M;;
neris.csrc.gov.cn;funksec;10/12/2024;China;Governative;700;<$5M;;
mofa.gov.pk;funksec;10/12/2024;Pakistan;Governative;44;$10.3M;;
inet.net;funksec;10/12/2024;Indonesia;Services;302;<$5M;;
digital-invoice.co.il;funksec;10/12/2024;Israel;Finance;49;$23.2M;;
midwest;blacksuit;11/12/2024;USA;Retail;125;$58.9M;;
Planters Telephone Cooperative ;fog;11/12/2024;USA;Telecommunications;57;$8.4M;;
Sarah Car Care;everest;11/12/2024;USA;Automotive;<25;<$5M;;
Cristal y Lavisa S.A. de C.V.;braincipher;11/12/2024;Mexico;Retail;94;$18.1M;;
Bianco Brain & Spine;qilin;11/12/2024;usa;Hospitality;<25;<$5M;;
AC Technical Systems;qilin;11/12/2024;Canada;Manufacturing;<25;$10.7M;;
Westerstrand Urfabrik AB;bluebox;11/12/2024;Sweden;Retail;76;$11.4M;;
Rutherford County Schools;rhysida;11/12/2024;USA;Education;5700;$202.8M;;
NSK Group ROTA;lynx;11/12/2024;Turkey;Banking;513;$51.2M;;
Primary Plus;qilin;11/12/2024;USA;Hospitality;323;$24.2M;;
Nova Pole International Inc.;akira;11/12/2024;Canada;Construction;403;$46.7M;;
Renée Blanche;akira;11/12/2024;Italy;Banking;<25;<$5M;;
Matagrano;akira;11/12/2024;USA;Retail;143;$124M;;
quiztarget;funksec;11/12/2024;India;Services;;;;
dealplexus ;funksec;11/12/2024;India;Finance;<25;<$5M;;
Hydra-Matic Packing;lynx;11/12/2024;USA;Construction;50;$5.2M;;
Mission Constructors , Inc.;nitrogen;10/12/2024;USA;Construction;40;$9.2M;;
tectaamerica;ransomhub;10/12/2024;USA;Construction;3692;$2.4B;;
Haji Husein Alireza;incransom;10/12/2024;Saudi Arabia;Automotive;5173;$1.2B;;
fpsc-anz ;funksec;10/12/2024;Australia;Retail;<25;$8.7M;;
senseis.xmp.net ;funksec;10/12/2024;Austria;Hospitality;<25;<$5M;;
wacer ;funksec;10/12/2024;Australia;Industrial;<25;<$5M;;
appicgarage ;funksec;10/12/2024;UAE;Software;48;$10.1M;;
Telecom Namibia;hunters;10/12/2024;Namibia;Services;996;$77.1M;;
Global Insurance Agency ;bianlian;10/12/2024;USA;Insurance;<25;$5.1M;;
womenscare;ransomhub;10/12/2024;USA;Healthcare;279;$10.5M;;
Matandy;akira;10/12/2024;USA;Construction;78;$23.5M;;
Ainsworth Game Technology Limited ;medusa;10/12/2024;Australia;Software;304;$146.6M;;
Bergerhof;medusa;10/12/2024;Netherlands;Healthcare;<25;<$5M;;
leadboxhq;apt73/bashe;10/12/2024;Canada;Marketing;<25;<$5M;;
workers.zm;funksec;10/12/2024;Zambia;Governative;159;$26.2M;;
kurosu.py;funksec;10/12/2024;Paraguay;Retail;<25;<$5M;;
Inmobiliaria Armas;medusa;10/12/2024;Chile;Real Estate;398;<$5M;;
Physicians' Primary Care of Southwest Florida;bianlian;10/12/2024;USA;Healthcare;272;$5.9M;;
Lakeside Sod Supply;akira;10/12/2024;USA;Agriculture;<25;<$5M;;
Aruba Productions;akira;10/12/2024;USA;Services;<25;<$5M;;
Conrey Insurance Brokers & Risk Managers;akira;10/12/2024;USA;Insurance;<25;<$5M;;
Corporación BJR;akira;10/12/2024;Peru;Manufacturing;79;$5.2M;;
greenscape;ransomhub;10/12/2024;USA;Construction;45;$12.8M;;
Proyectos y Seguros;akira;10/12/2024;Spain;Insurance;80;$16.1M;;
gervetusa ;funksec;9/12/2024;USA;Retail;537;$5.9M;;
copresi;blacksuit;9/12/2024;Spain;Services;104;$10.1M;;
nedamaritime.gr;blackout;9/12/2024;Greece;Transportation;366;$8.7M;;
mpdory;ransomhub;9/12/2024;USA;Construction;31;$6.7M;;
Precisedi agnosticspacs ;funksec;9/12/2024;USA;Healthcare;<25;<$5M;;
lasalleinc;ransomhub;9/12/2024;USA;Construction;37;$12.8M;;
bms;apt73/bashe;9/12/2024;USA;Manufacturing;34021;$46.5B;;
melhorcompraclube;apt73/bashe;9/12/2024;Brazil;Agriculture;34;<$5M;;
Ukh-hof.de;cloak;9/12/2024;Germany;Healthcare;<25;;;
Orthopaedie-hof.de;cloak;9/12/2024;Germany;Services;<25;<$5M;;
bankily.mr;apt73/bashe;9/12/2024;Mauritania;Banking;59;$5.7M;;
C Pathe;akira;9/12/2024;USA;Furniture;<25;<$5M;;
Coffee Beanery;akira;9/12/2024;USA;Food;27;<$5M;;
Séguin Haché SENCRL;akira;9/12/2024;Canada;Services;<25;<$5M;;
Davis Immigration Law Office;akira;9/12/2024;Canada;Law;<25;<$5M;;
Milwaukee Cylinder;akira;9/12/2024;USA;Industrial;105;$32.9M;;
Weinberg & Schwartz ;akira;9/12/2024;USA;Law;<25;<$5M;;
Jamaica Bearings Group;akira;9/12/2024;USA;Minerals;155;$73.3M;;
Pb Loader;akira;9/12/2024;USA;Industrial;78;$14.2M;;
Pelstar;akira;9/12/2024;USA;Automotive;<25;<$5M;;
ECBM;akira;9/12/2024;USA;Insurance;70;$65.4M;;
Consumers Builders Supply;akira;9/12/2024;USA;Construction;<25;<$5M;;
Cipla;akira;9/12/2024;India;Manufacturing;32323;$3.1B;;
pti.agency ;funksec;9/12/2024;USA;Broadcasting;<25;<$5M;;
inia;ransomhub;9/12/2024;Spain;Manufacturing;870;$103.4M;;
sincorpe ;funksec;9/12/2024;Brazil;Insurance;121;$26.5M;;
Boston Chinatown Neighborhood Center;interlock;9/12/2024;USA;Organizations;117;$5.8M;;
HostingExpress.mx;funksec;8/12/2024;Mexico;Telecommunications;<25;<$5M;;
singularanalysts ;funksec;8/12/2024;USA;Services;73;$8.1M;;
spdyn.de technology;funksec;8/12/2024;Germany;Services;<25;<$5M;;
Town of Whitestown - NY Highway Department;qilin;8/12/2024;USA;Services;26;<$5M;;
ncfe.in;funksec;8/12/2024;India;Finance;<25;$7.6M;;
Gulf Petrochemical Services & Trading;sarcoma;8/12/2024;Oman;Construction;244;$35.5M;;
ayswrewards;funksec;7/12/2024;Myanmar;Services;;;;
Matlock Security Services;rhysida;7/12/2024;USA;Services;<25;<$5M;;
Black Creek Community Health Centre (bcch.local);incransom;7/12/2024;Canada;Healthcare;101;<$5M;;
Arc Community Services Inc;incransom;7/12/2024;USA;Healthcare;96;<$5M;;
CO-VER Power Technology SpA;everest;7/12/2024;Italy;Construction;<25;$7M;;
T&M Equipment;kairos;6/12/2024;USA;Industrial;54;$6.2M;;
RJM Marketing;interlock;6/12/2024;USA;Services;<25;$5.3M;;
Medical Technology Industries, Inc.;everest;6/12/2024;USA;Manufacturing;45;$7M;;
mtgazeta.uz;funksec;6/12/2024;Uzbekistan;Retail;<25;$6.6M;;
LTI Trucking Services;bianlian;6/12/2024;USA;Transportation;370;$69.4M;;
Blue Yonder;termite;6/12/2024;USA;Software;10500;$2.2B;;
Precision Walls;dragonforce;6/12/2024;USA;Construction;1000;$197.8M;;
Originpath Group;8base;6/12/2024;Spain;Services;27;$5.5M;;
Port of Rijeka;8base;6/12/2024;Croatia;Automotive;55;$11.8M;;
Pan Gulf Holding;sarcoma;6/12/2024;Saudi Arabia;Services;289;$387M;;
pro-mec;ransomhub;6/12/2024;USA;Architecture;<25;$6.2M;;
casaimports;safepay;6/12/2024;USA;Retail;102;$26M;;
ktpartners.ca;safepay;6/12/2024;Canada;Services;90;<$5M;;
pez;abyss;6/12/2024;Austria;Food;123;$23.3M;;
ctsjo;funksec;5/12/2024;Jordan;Electronics;4081;$530M;;
Standard Calibrations;play;5/12/2024;USA;Manufacturing;100;$17.5M;;
NatAlliance Securities;play;5/12/2024;USA;Finance;56;$11.4M;;
Max Trans;play;5/12/2024;USA;Logistics;28;$27.4M;;
Levicoff Law Firm, P.C;medusa;5/12/2024;USA;Law;<25;<$5M;;
Brodsky Renehan Pearlstein & Bouquet, Chartered;medusa;5/12/2024;USA;Law;<25;<$5M;;
NIER Ingegneria S.p.A;blackbasta;4/12/2024;Italy;Construction;234;$22.4M;;
Interspiro AB;blackbasta;4/12/2024;Sweden;Retail;<25;<$5M;;
Star Shuttle Inc.;bianlian;5/12/2024;USA;Transportation;<25;<$5M;;
ITO EN;play;5/12/2024;Japan;Food;5175;$3.1B;;
edizionidottrinari;funksec;5/12/2024;Italy;Retail;<25;<$5M;;
altuslab;funksec;5/12/2024;USA;Healthcare;<25;<$5M;;
hanwhacimarron;ransomhub;5/12/2024;USA;Services;72;<$5M;;
Dorner (dorner-gmbh.de);FOG;5/12/2024;Germany;Manufacturing;<25;<$5M;;
Aptus Value Housing Finance India Ltd;spacebears;5/12/2024;India;Banking;<25;$6.8M;;
SRP Federal Credit Union;nitrogen;5/12/2024;USA;Banking;266;$18.9M;;
azpay.me;apt73/bashe;5/12/2024;Brazil;Banking;56;<$5M;;
USA2ME;killsec;5/12/2024;USA;Services;<25;<$5M;;
frigopesca.ec;ransomhub;5/12/2024;Ecuador;Agriculture;85;$8.5M;;
aliorbank.pl;apt73/bashe;5/12/2024;Poland;Banking;7247;$1.6B;;
islandphoto;ransomhub;4/12/2024;USA;Services;114;$23.7M;;
troxlerlabs;ransomhub;4/12/2024;USA;Electronics;124;$32M;;
hobokennj.gov;threeam;4/12/2024;USA;Governative;553;$131.7M;;
NTrust;raworld;4/12/2024;USA;Software;1100;$189M;;
Deloitte UK;BrainCipher;4/12/2024;UK;Services;460000;$67.2B;;
uniaomarmores;funksec;4/12/2024;Brazil;Education;783;$50M;;
d47;ransomhub;4/12/2024;USA;Education;<25;<$5M;;
ISEKI and CO.,LTD;8base;4/12/2024;Japan;Industrial;5457;$1.2B;;
certifiedinfosec;apt73/bashe;4/12/2024;USA;Education;<25;<$5M;;
copral;lockbit3;4/12/2024;Brazil;Transportation;330;<$5M;;
FF Steel;sarcoma;4/12/2024;Pakistan;Construction;616;$20.5M;;
Donnewalddistributing;cloak;4/12/2024;USA;Retail;103;$23.8M;;
sefiso-atlantique.fr;ransomhub;4/12/2024;France;Hospitality;<25;$5.3M;;
marietta-city;ransomhub;4/12/2024;USA;Education;1200;$116.4M;;
vossko.de;blackbasta;4/12/2024;Germany;Food;<25;<$5M;;
lornestewartgroup;blackbasta;4/12/2024;UK;Construction;2059;$430.9M;;
medicacorp;blackbasta;4/12/2024;USA;Manufacturing;169;$40M;;
snatt.it;blackbasta;4/12/2024;Italy;Services;40;$6.2M;;
beko-technologies;blackbasta;4/12/2024;Germany;Industrial;554;$122.9M;;
btci;blackbasta;4/12/2024;UK;Education;<25;<$5M;;
westbankcorp;blackbasta;4/12/2024;Canada;Real Estate;148;$129.3M;;
cafezupas;blackbasta;4/12/2024;USA;Hospitality;3680;$248.9M;;
g-s.co.uk;blackbasta;4/12/2024;UK;Insurance;64;$17.3M;;
hamptonsecurities;blackbasta;4/12/2024;Canada;Finance;50;$30M;;
kingdom;funksec;4/12/2024;USA;Retail;30;$6.8M;;
albazaar;funksec;4/12/2024;Qatar;Construction;<25;<$5M;;
rscn.jo;funksec;4/12/2024;Jordan;No Profit;317;$31M;;
verificativa;funksec;4/12/2024;Peru;Services;55;<$5M;;
intbizth;funksec;4/12/2024;Thailand;Services;<25;<$5M;;
x-cart automotive;funksec;4/12/2024;USA;Automotive;93;$20.9M;;
IFA Paris;funksec;4/12/2024;France;Education;<25;$25.1M;;
styched;funksec;4/12/2024;India;Retail;27;<$5M;;
Smart-it-partner;funksec;4/12/2024;Tunisia;Software;81;$12.9M;;
USA Network;funksec;4/12/2024;USA;Retail;28;<$5M;;
Zero 5;funksec;4/12/2024;Italy;Construction;72;<$5M;;
westbornmarket;ransomhub;4/12/2024;USA;Retail;213;$30.6M;;
lasalle;ransomhub;4/12/2024;USA;Real Estate;541;$879.3M;;
TRAFILERIE ALLUMINIO ALEXIA S.P.A.;8base;3/12/2024;Italy;Minerals;97;$26.7M;;
InnoGroup;8base;3/12/2024;Switzerland;Services;<25;<$5M;;
EuroDruk;8base;3/12/2024;Poland;Services;<25;<$5M;;
wsgcpa;ransomhub;3/12/2024;USA;Services;<25;<$5M;;
goethe-university-frankfurt.de;ransomhub;3/12/2024;Germany;Hospitality;347;$81.4M;;
dalgroup;ransomhub;3/12/2024;Sudan;Food;<25;<$5M;;
kiswire;ransomhub;3/12/2024;South Korea;Manufacturing;740;$1.3B;;
giorgiovisconti.it;ransomhub;3/12/2024;Italy;Retail;<25;<$5M;;
z2data;ransomhub;3/12/2024;USA;Telecommunications;314;$50.6M;;
fibrogen;ransomhub;3/12/2024;USA;Services;486;$173.8M;;
iscinc93;ransomhub;3/12/2024;USA;Construction;<25;<$5M;;
internetway;ransomhub;3/12/2024;Brazil;Telecommunications;116;<$5M;;
Communicare Inc.(US);daixin;3/12/2024;USA;Hospitality;491;$493.7M;;
Marine Stores Guide;qilin;3/12/2024;UK;Automotive;<25;<$5M;;
Robson Planning Group, Inc.;qilin;2/12/2024;USA;Finance;<25;<$5M;;
Care Age of Brookfield;qilin;2/12/2024;USA;Services;58;$6.9M;;
InterCon Construction;hunters;3/12/2024;USA;Construction;401;$610.2M;;
Royce Corporation;BrainCipher;3/12/2024;USA;Construction;66;$6.6M;;
SGS Co (US);daixin;3/12/2024;USA;Marketing;4700;$1.6B;;
siapenet.gov;apt73/bashe;3/12/2024;Brazil;Governative;208;$46.6M;;
Inland Tarp & Liner;lynx;3/12/2024;USA;Manufacturing;68;$17.6M;;
RDC;argonauts;3/12/2024;Singapore;Services;267;$20.5M;;
ACM_IT;argonauts;3/12/2024;Singapore;Services;<25;$6M;;
Conteg;hunters;3/12/2024;Czech Republic;Equipment;414;$100M;;
IDN;qilin;3/12/2024;USA;Telecommunications;<25;<$5M;;
Harel Insurance ( Shirbit Server );handala;3/12/2024;Israel;Insurance;5158;<$5M;;
Goodwill North Central Texas;rhysida;3/12/2024;USA;No Profit;1300;$7.2M;;
New Age Micro;lynx;3/12/2024;USA;Services;<25;<$5M;;
Textiles Coated International;lynx;2/12/2024;USA;Manufacturing;141;$55.5M;;
salesgig;darkvault;2/12/2024;USA;Services;32;<$5M;;
Billaud Segeba;qilin;2/12/2024;France;Retail;<25;<$5M;;
KHKKLOW;ransomhub;2/12/2024;USA;Law ;31;$6.1M;;
Wiley Metal Fabricating;medusa;2/12/2024;USA;Transportation;96;$22.1M;;
Down East Granite;medusa;2/12/2024;USA;Construction;26;<$5M;;
Avico Spice;medusa;2/12/2024;USA;Retail;<25;<$5M;;
qualitybillingservice;ransomhub;1/12/2024;USA;Services;37;$8.6M;;
everde;ransomhub;1/12/2024;USA;Agriculture;<25;<$5M;;
tascosaofficemachines;ransomhub;1/12/2024;USA;Retail;82;<$5M;;
McKibbin;incransom;1/12/2024;UK;Real Estate;33;$6.4M;;
shapesmfg;ransomhub;1/12/2024;USA;Manufacturing;113;<$5M;;
costelloeye;ransomhub;1/12/2024;USA;Hospitality;30;$5.7M;;
apeagers;lockbit3;1/12/2024;USA;Automotive;8000;$6.7B;;
Alpine Ear Nose & Throat;bianlian;1/12/2024;USA;Hospitality;30;<$5M;;
agenciatributaria;trinity;30/11/2024;Spain;Federal;115;$38M;;
Mobigator Technology Group;dragonforce;30/11/2024;Hong Kong;Services;597;$15.1M;;
EP:Schuller;sarcoma;30/11/2024;Austria;Retail;<25;<$5M;;
Chema Per;sarcoma;30/11/2024;Peru;Construction;275;$79.5M;;
sansirostadium;apt73/bashe;30/11/2024;Italy;Hospitality;<25;<$5M;;
backyarddiscovery;embargo;30/11/2024;USA;Retail;295;$11.4M;;
Trace3;play;30/11/2024;USA;Services;1000;$243.7M;;
Specialty Bolt And Screw;play;30/11/2024;USA;Retail;200;$42.2M;;
Bendheim;play;29/11/2024;USA;Services;93;$35.8M;;
Browne McGregor Architects;qilin;25/11/2024;USA;Architecture;26;<$5M;;
Government of the People's Republic of Bangladesh;killsec;26/11/2024;Bangladesh;Governative;2951;$98.2M;;
Fuero Militar Policial;cloak;26/11/2024;Peru;Healthcare;<25;$11.6M;;
SILKNET COMPANY;medusalocker;26/11/2024;Georgia;Retail;1984;$739.1M;;
aras-group.ae;ransomhub;29/11/2024;UAE;Finance;57;$6.1M;;
Colwell Colour (colweolour);akira;29/11/2024;USA;Services;354;$58.9M;;
Complete Control (complete-control);akira;29/11/2024;UK;Services;65;$12.7M;;
Dfa Ny;akira;29/11/2024;USA;Retail;<25;$5.8M;;
Cate Equipment;akira;29/11/2024;USA;Industrial;68;$16.3M;;
CAUDURO SPORTS LTDA;akira;29/11/2024;Brazil;Services;;;;
Corman Leigh;akira;29/11/2024;USA;Construction;<25;<$5M;;
Ilvief;akira;29/11/2024;Greece;Electronics;276;<$5M;;
Zillertal Bier;akira;29/11/2024;Austria;Food;<25;<$5M;;
Lucid Corp;akira;29/11/2024;Canada;Manufacturing;73;$19.8M;;
Rengo Packaging;akira;29/11/2024;USA;Manufacturing;63;$12.2M;;
Lotus Concepts Management;akira;29/11/2024;USA;Hospitality;720;$5.4M;;
4QuartersIT;akira;29/11/2024;USA;Business;<25;<$5M;;
Snelling Paper & Sanitation;akira;29/11/2024;Canada;Manufacturing;31;$7.8M;;
Magguilli Law Firm,PPLC;akira;29/11/2024;USA;Law;<25;<$5M;;
